name,lat,lon,country,name_slug
Плиска,43.3444063,27.0946171,BG,
Подвис,42.801593,26.876482,BG,
Раданово,43.342438,25.638306,BG,
Сахране,42.6459524,25.2230126,BG,
Соколово,43.020827,25.5316343,BG,
Стражица,43.2169009,25.9545605,BG,
Стралджа,42.592256,26.6885482,BG,
Струпец,43.1360458,23.8655008,BG,
Търговище,43.2634332,26.578084,BG,
Хаджиево,42.1328761,24.4514358,BG,
Церковски,42.6207694,26.8412813,BG,
Дунавци,42.6590686,25.3023217,BG,
Свобода,42.2392632,25.4369423,BG,
Ботев,42.6012208,24.8938072,BG,
Самоводене,43.1375571,25.6189963,BG,
жп гара Хан Аспарухово,42.4447436,25.8453238,BG,
Меричлери,42.1216709,25.4908176,BG,
Хитрино,43.4262367,26.9091676,BG,
Аврамово,42.0368955,23.8204387,BG,
Роман,43.1545279,23.9214951,BG,
Християново,42.3516737,25.5953374,BG,
Казанлък,42.6138328,25.3915575,BG,
Летище София,42.6879741,23.4161918,BG,
Стряма,42.6957498,24.421523,BG,
Долна Махала,42.4080811,24.7784639,BG,
Съединение,42.2599914,24.5341758,BG,
Величково,43.0472244,27.4416506,BG,
Юнак,43.0891713,27.61272,BG,
Смядово,43.0761743,27.0293455,BG,
Троян,42.8811035,24.7140528,BG,
Витоша,42.6581785,23.3162679,BG,
Храбърско,42.8054084,23.0618723,BG,
Национален дворец на културата II,42.6890979,23.3178446,BG,ii
Св. Патриарх Евтимий,42.6882031,23.3274792,BG,
Дойренци,43.2266506,24.844489,BG,
Маноле / Manole,42.185061,24.9234417,BG,/-manole
ж.п.гара Шивачево,42.6800627,26.026891,BG,
Бобов дол,42.3758498,23.0005404,BG,
Ловеч,43.1368475,24.7069538,BG,
бул. Цар Борис III / Красно село,42.679086,23.2843511,BG,iii-/
Горна баня,42.6831167,23.2417296,BG,
Овча купел,42.6832194,23.2702032,BG,
Театрална,42.6970634,23.3468234,BG,
Хаджи Димитър,42.7025457,23.3522642,BG,
Орлов мост,42.6905683,23.3361814,BG,
Медицински университет,42.6865585,23.3093903,BG,
България,42.6792938,23.3011089,BG,
Мадара,43.2746995,27.0998543,BG,
Благоевград,42.0134639,23.0850569,BG,
Филипово,42.1668009,24.7368017,BG,
Партизани,43.0190339,27.2563678,BG,
Национален дворец на културата,42.6882043,23.3190231,BG,
Джеймс Баучер,42.670622,23.3204611,BG,
Благово,43.3609853,23.2246032,BG,
Бойчиновци,43.4751282,23.3387659,BG,
Карнобат,42.6677803,26.9771958,BG,
Калояновец,42.3113752,25.5694399,BG,
Курило,42.8180984,23.3567326,BG,
Хан Крум,43.2036428,26.890685,BG,
Плевен,43.4209425,24.6145199,BG,
Реброво,42.8989494,23.3882666,BG,
Хисар,42.505329,24.700508,BG,
Ямбол,42.4956847,26.490973,BG,
Твърдица,42.6952231,25.8984288,BG,
Айтос,42.6947243,27.2460998,BG,
Мизия,42.6838955,23.2570294,BG,
Овча купел II,42.6847426,23.2478221,BG,ii
Сердика,42.6980284,23.3203473,BG,
Г. М. Димитров,42.6626636,23.357875,BG,
Княгиня Мария Луиза,42.7142345,23.3129883,BG,
Дълга лъка,43.0600567,25.6339655,BG,
Симеоновград,42.0248592,25.8456568,BG,
Бела Паланка,43.2216649,22.3176187,RS,
Хасково,41.9330137,25.5800402,BG,
Горна Оряховица,43.1398177,25.6819367,BG,
Змейово,42.4989283,25.5961436,BG,
Михайлово,42.2427521,25.5292225,BG,
Димитриево,42.1869744,25.5469841,BG,
Димитровград север,42.0713969,25.5735576,BG,
Харманли,41.9225246,25.9240973,BG,
Любимец,41.8512105,26.0738343,BG,
Кликач,42.7071463,27.0568807,BG,
Янтра,43.2070215,25.6656547,BG,
Бов,43.0220704,23.3514552,BG,
Ихтиман,42.4295731,23.7990107,BG,
Оплетня,43.0974214,23.4315711,BG,
Подуяне Пътническа,42.6979275,23.3546583,BG,
Девня,43.2177414,27.5960691,BG,
